epoch,train_loss,train_acc,val_loss,val_acc
0,,,1.6284151077270508,13.671875
0,,,1.483530879020691,34.83754348754883
1,1.4082906246185303,41.32185363769531,1.5706099271774292,37.607608795166016
2,1.0820516347885132,58.76145553588867,1.650886058807373,38.74618148803711
3,0.8896828889846802,67.71035766601562,1.7368223667144775,37.01980972290039
4,0.7360036969184875,73.7850570678711,1.8244984149932861,35.2888069152832
5,0.6207982301712036,78.65870666503906,1.926129698753357,34.56216049194336
6,0.5200687646865845,82.12996673583984,2.064596652984619,33.40275955200195
7,0.4322095215320587,85.6012191772461,2.1394693851470947,34.60844039916992
8,0.37714430689811707,87.80894470214844,2.2751755714416504,33.69434356689453
9,0.32432299852371216,89.69036102294922,2.3031558990478516,33.328704833984375
10,0.27886855602264404,91.26631164550781,2.409696102142334,33.946590423583984
